lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,18.96250818107543,3.16,NO,43727241,8.0571,statline_mc+recal_10_4b,team:DET
1,DST,DST_JAX,Jaguars,DST,JAX,3400,11.0547118845,3.25,CLE,43728526,6.0752,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79624666308824,2.72,NO,43727325,9.8076,statline_mc+recal_10_4b,team:DET
1,RB2,00-0036223,Jonathan Taylor,RB,IND,7300,16.070582285725056,2.2,BAL,43727329,9.0261,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.502055715928247,2.6,NO,43727633,9.8897,statline_mc+recal_10_4b,team:DET
1,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,8.814921326802414,2.05,GB,43727721,7.5337,statline_mc+recal_10_4b,team:DET
1,WR3,00-0039451,Isaiah Williams,WR,NYJ,3000,6.124906186372458,2.04,TEN,43728063,6.5436,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.624744176612598,2.76,CAR,43728219,7.7092,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036919,Kenny Gainwell,RB,TB,5200,13.470631292919158,2.59,CIN,43727377,8.2794,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,18.96250818107543,3.16,NO,43727241,8.0571,statline_mc+recal_10_4b,team:DET
2,DST,DST_JAX,Jaguars,DST,JAX,3400,11.0547118845,3.25,CLE,43728526,6.0752,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79624666308824,2.72,NO,43727325,9.8076,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.470631292919158,2.59,CIN,43727377,8.2794,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.502055715928247,2.6,NO,43727633,9.8897,statline_mc+recal_10_4b,team:DET
2,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.33444126143289,2.2,BAL,43950117,7.8035,statline_mc+recal_10_4b,team:DET
2,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.21097783629047,2.04,CLE,43727691,7.6518,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.624744176612598,2.76,CAR,43728219,7.7092,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,10.19979411776928,2.17,PIT,43728223,6.8309,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,6000,18.96250818107543,3.16,NO,43727241,8.0571,statline_mc+recal_10_4b,team:DET
3,DST,DST_JAX,Jaguars,DST,JAX,3400,11.0547118845,3.25,CLE,43728526,6.0752,dst_simulated_session_10_4+recal_10_4b,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79624666308824,2.72,NO,43727325,9.8076,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.470631292919158,2.59,CIN,43727377,8.2794,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.502055715928247,2.6,NO,43727633,9.8897,statline_mc+recal_10_4b,team:DET
3,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.736766020373114,2.02,TB,43727631,9.2023,statline_mc+recal_10_4b,team:DET
3,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.8163474465179,2.13,CHI,43727819,6.9399,statline_mc+recal_10_4b,team:DET
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.624744176612598,2.76,CAR,43728219,7.7092,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0038935,Brenton Strange,TE,JAX,3600,8.247467636145814,2.29,CLE,43728245,6.4611,statline_mc+recal_10_4b,team:DET
