lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036264,Jordan Love,QB,GB,6800,13.996,2.06,BYE_OR_UNKNOWN,43670215,0.0,,team:GB
1,DST,DST_PIT,Steelers,DST,PIT,3100,3.316387858142223,1.07,ATL,43670383,0.0,,team:GB
1,RB1,00-0038542,Bijan Robinson,RB,ATL,8300,22.29688235294118,2.69,BYE_OR_UNKNOWN,43670226,0.0,,team:GB
1,RB2,00-0036919,Kenneth Gainwell,RB,PIT,3000,15.307823529411763,5.1,BYE_OR_UNKNOWN,43670252,0.0,,team:GB
1,WR1,00-0037238,Drake London,WR,ATL,4200,14.3825,3.42,BYE_OR_UNKNOWN,43670294,0.0,,team:GB
1,WR2,00-0038124,Christian Watson,WR,GB,6800,13.801,2.03,BYE_OR_UNKNOWN,43670274,0.0,,team:GB
1,WR3,00-0036322,Justin Jefferson,WR,MIN,6600,11.847470588235296,1.8,BYE_OR_UNKNOWN,43670278,0.0,,team:GB
1,TE,00-0038996,Tucker Kraft,TE,GB,4600,15.0295,3.27,BYE_OR_UNKNOWN,43670344,0.0,,team:GB
1,FLEX,00-0037228,Jaylen Warren,RB,PIT,6200,14.177875,2.29,BYE_OR_UNKNOWN,43670234,0.0,,team:GB
2,QB,00-0036264,Jordan Love,QB,GB,6800,13.996,2.06,BYE_OR_UNKNOWN,43670215,0.0,,team:GB
2,DST,DST_GB,Packers,DST,GB,3300,3.240567951318458,0.98,MIN,43670381,0.0,,team:GB
2,RB1,00-0038542,Bijan Robinson,RB,ATL,8300,22.29688235294118,2.69,BYE_OR_UNKNOWN,43670226,0.0,,team:GB
2,RB2,00-0036919,Kenneth Gainwell,RB,PIT,3000,15.307823529411763,5.1,BYE_OR_UNKNOWN,43670252,0.0,,team:GB
2,WR1,00-0037238,Drake London,WR,ATL,4200,14.3825,3.42,BYE_OR_UNKNOWN,43670294,0.0,,team:GB
2,WR2,00-0038124,Christian Watson,WR,GB,6800,13.801,2.03,BYE_OR_UNKNOWN,43670274,0.0,,team:GB
2,WR3,00-0031408,Mike Evans,WR,TB,6700,10.3195,1.54,BYE_OR_UNKNOWN,43670276,0.0,,team:GB
2,TE,00-0038996,Tucker Kraft,TE,GB,4600,15.0295,3.27,BYE_OR_UNKNOWN,43670344,0.0,,team:GB
2,FLEX,00-0037228,Jaylen Warren,RB,PIT,6200,14.177875,2.29,BYE_OR_UNKNOWN,43670234,0.0,,team:GB
3,QB,00-0036264,Jordan Love,QB,GB,6800,13.996,2.06,BYE_OR_UNKNOWN,43670215,0.0,,team:GB
3,DST,DST_PIT,Steelers,DST,PIT,3100,3.316387858142223,1.07,ATL,43670383,0.0,,team:GB
3,RB1,00-0038542,Bijan Robinson,RB,ATL,8300,22.29688235294118,2.69,BYE_OR_UNKNOWN,43670226,0.0,,team:GB
3,RB2,00-0036919,Kenneth Gainwell,RB,PIT,3000,15.307823529411763,5.1,BYE_OR_UNKNOWN,43670252,0.0,,team:GB
3,WR1,00-0037238,Drake London,WR,ATL,4200,14.3825,3.42,BYE_OR_UNKNOWN,43670294,0.0,,team:GB
3,WR2,00-0038124,Christian Watson,WR,GB,6800,13.801,2.03,BYE_OR_UNKNOWN,43670274,0.0,,team:GB
3,WR3,00-0033921,Chris Godwin Jr.,WR,TB,5500,9.961111111111109,1.81,BYE_OR_UNKNOWN,43670286,0.0,,team:GB
3,TE,00-0038996,Tucker Kraft,TE,GB,4600,15.0295,3.27,BYE_OR_UNKNOWN,43670344,0.0,,team:GB
3,FLEX,00-0035700,Josh Jacobs,RB,GB,7300,12.486833333333337,1.71,BYE_OR_UNKNOWN,43670228,0.0,,team:GB
4,QB,00-0036264,Jordan Love,QB,GB,6800,13.996,2.06,BYE_OR_UNKNOWN,43670215,0.0,,team:GB
4,DST,DST_GB,Packers,DST,GB,3300,3.240567951318458,0.98,MIN,43670381,0.0,,team:GB
4,RB1,00-0038542,Bijan Robinson,RB,ATL,8300,22.29688235294118,2.69,BYE_OR_UNKNOWN,43670226,0.0,,team:GB
