lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,site_player_id,stack_target
1,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,JAX,90000170,
1,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,
1,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,JAX,90000172,
1,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,SEA,90000136,
1,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,CIN,90000079,
1,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,LAC,90000200,
1,WR3,90000046,Brandon Marshall,WR,PHI,3700,5.51,DAL,90000046,
1,TE,90000180,DeAndre Castillo,TE,PIT,2700,1.56,JAX,90000180,
1,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,JAX,90000173,
2,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,JAX,90000170,
2,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,
2,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,JAX,90000172,
2,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,SEA,90000136,
2,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,CIN,90000079,
2,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,LAC,90000200,
2,WR3,90000022,Isaiah Fields,WR,KC,3000,2.82,BUF,90000022,
2,TE,90000144,Dominic Winslow,TE,LAR,3400,4.15,SEA,90000144,
2,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,JAX,90000173,
3,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,JAX,90000170,
3,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,
3,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,JAX,90000172,
3,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,SEA,90000136,
3,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,CIN,90000079,
3,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,LAC,90000200,
3,WR3,90000129,Antonio Winslow,WR,SEA,3800,5.75,LAR,90000129,
3,TE,90000132,Preston Truman,TE,SEA,2600,1.18,LAR,90000132,
3,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,JAX,90000173,
4,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,JAX,90000170,
4,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,
4,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,JAX,90000172,
4,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,SEA,90000136,
