lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036355,Justin Herbert,QB,LAC,7600,16.5169863099513,2.17,ARI,133647-69189,7.5793,statline_mc+recal_10_4b,team:LAC
1,DEF,DST_LV,Las Vegas Raiders,DEF,LV,3800,8.681553909,2.28,MIA,133647-12537,6.0311,dst_simulated_session_10_4,team:LAC
1,RB1,00-0040666,Omarion Hampton,RB,LAC,7300,11.285504137799125,1.55,ARI,133647-174215,7.9302,statline_mc+recal_10_4b,team:LAC
1,RB2,00-0040122,Ashton Jeanty,RB,LV,7000,11.078105457304336,1.58,MIA,133647-167031,7.935,statline_mc+recal_10_4b,team:LAC
1,WR1,00-0036322,Justin Jefferson,WR,MIN,8100,9.369607813413513,1.16,GB,133647-85671,7.1027,statline_mc+recal_10_4b,team:LAC
1,WR2,00-0038563,Tre Tucker,WR,LV,5600,5.755963768338133,1.03,MIA,133647-103619,5.8453,statline_mc+recal_10_4b,team:LAC
1,WR3,00-0040727,Tre' Harris,WR,LAC,4700,4.546118244147453,0.97,ARI,133647-129546,5.479,statline_mc+recal_10_4b,team:LAC
1,TE,00-0037744,Trey McBride,TE,ARI,7600,6.982301734472638,0.92,LAC,133647-91750,5.2131,statline_mc+recal_10_4b,team:LAC
1,FLEX,00-0034844,Saquon Barkley,RB,PHI,8100,10.244180619487324,1.26,WAS,133647-64401,8.179,statline_mc+recal_10_4b,team:LAC
2,QB,00-0036355,Justin Herbert,QB,LAC,7600,16.5169863099513,2.17,ARI,133647-69189,7.5793,statline_mc+recal_10_4b,team:LAC
2,DEF,DST_PHI,Philadelphia Eagles,DEF,PHI,4500,7.8751696095,1.75,WAS,133647-12545,5.9841,dst_simulated_session_10_4,team:LAC
2,RB1,00-0040666,Omarion Hampton,RB,LAC,7300,11.285504137799125,1.55,ARI,133647-174215,7.9302,statline_mc+recal_10_4b,team:LAC
2,RB2,00-0040122,Ashton Jeanty,RB,LV,7000,11.078105457304336,1.58,MIA,133647-167031,7.935,statline_mc+recal_10_4b,team:LAC
2,WR1,00-0036322,Justin Jefferson,WR,MIN,8100,9.369607813413513,1.16,GB,133647-85671,7.1027,statline_mc+recal_10_4b,team:LAC
2,WR2,00-0038559,Michael Wilson,WR,ARI,6300,6.066245823208161,0.96,LAC,133647-89612,5.8089,statline_mc+recal_10_4b,team:LAC
2,WR3,00-0040727,Tre' Harris,WR,LAC,4700,4.546118244147453,0.97,ARI,133647-129546,5.479,statline_mc+recal_10_4b,team:LAC
2,TE,00-0038996,Tucker Kraft,TE,GB,6300,6.173376824994649,0.98,MIN,133647-160303,5.2452,statline_mc+recal_10_4b,team:LAC
2,FLEX,00-0034844,Saquon Barkley,RB,PHI,8100,10.244180619487324,1.26,WAS,133647-64401,8.179,statline_mc+recal_10_4b,team:LAC
3,QB,00-0036389,Jalen Hurts,QB,PHI,8300,15.247366664794615,1.84,WAS,133647-69531,7.5296,statline_mc+recal_10_4b,team:PHI
3,DEF,DST_LV,Las Vegas Raiders,DEF,LV,3800,8.681553909,2.28,MIA,133647-12537,6.0311,dst_simulated_session_10_4,team:PHI
3,RB1,00-0040666,Omarion Hampton,RB,LAC,7300,11.285504137799125,1.55,ARI,133647-174215,7.9302,statline_mc+recal_10_4b,team:PHI
3,RB2,00-0040122,Ashton Jeanty,RB,LV,7000,11.078105457304336,1.58,MIA,133647-167031,7.935,statline_mc+recal_10_4b,team:PHI
3,WR1,00-0036322,Justin Jefferson,WR,MIN,8100,9.369607813413513,1.16,GB,133647-85671,7.1027,statline_mc+recal_10_4b,team:PHI
3,WR2,00-0038559,Michael Wilson,WR,ARI,6300,6.066245823208161,0.96,LAC,133647-89612,5.8089,statline_mc+recal_10_4b,team:PHI
3,WR3,00-0038563,Tre Tucker,WR,LV,5600,5.755963768338133,1.03,MIA,133647-103619,5.8453,statline_mc+recal_10_4b,team:PHI
3,TE,00-0034351,Dallas Goedert,TE,PHI,5300,5.836915249398488,1.1,WAS,133647-83074,5.3419,statline_mc+recal_10_4b,team:PHI
3,FLEX,00-0034844,Saquon Barkley,RB,PHI,8100,10.244180619487324,1.26,WAS,133647-64401,8.179,statline_mc+recal_10_4b,team:PHI
