lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,18.689494802387337,3.11,NO,44069723,8.0422,statline_mc+recal_10_4b,team:DET
1,DST,DST_JAX,Jaguars,DST,JAX,3400,11.133197883,3.27,CLE,44070412,6.1433,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.62150296420768,2.7,NO,44069774,9.8445,statline_mc+recal_10_4b,team:DET
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.276981484654886,2.36,CIN,44069808,8.0979,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.235975657664067,2.56,NO,44069946,9.596,statline_mc+recal_10_4b,team:DET
1,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.852536915612896,2.31,BAL,44069996,7.9033,statline_mc+recal_10_4b,team:DET
1,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,9.86679515093078,1.97,CLE,44069988,7.5181,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.50579568592652,2.74,CAR,44070238,7.7259,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,9.948963601743882,2.12,PIT,44070242,6.6717,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,18.689494802387337,3.11,NO,44069723,8.0422,statline_mc+recal_10_4b,team:DET
2,DST,DST_JAX,Jaguars,DST,JAX,3400,11.133197883,3.27,CLE,44070412,6.1433,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.62150296420768,2.7,NO,44069774,9.8445,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.276981484654886,2.36,CIN,44069808,8.0979,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.235975657664067,2.56,NO,44069946,9.596,statline_mc+recal_10_4b,team:DET
2,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,16.808097954554693,2.15,TB,44069944,9.4143,statline_mc+recal_10_4b,team:DET
2,WR3,00-0039451,Isaiah Williams,WR,NYJ,3000,6.219472606949141,2.07,TEN,44070130,6.5121,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.50579568592652,2.74,CAR,44070238,7.7259,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0038935,Brenton Strange,TE,JAX,3600,8.08579697557968,2.25,CLE,44070258,6.3121,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,6000,18.689494802387337,3.11,NO,44069723,8.0422,statline_mc+recal_10_4b,team:DET
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.639978427,3.46,TEN,44070424,5.844,dst_simulated_session_10_4+recal_10_4b,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.62150296420768,2.7,NO,44069774,9.8445,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.276981484654886,2.36,CIN,44069808,8.0979,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.235975657664067,2.56,NO,44069946,9.596,statline_mc+recal_10_4b,team:DET
3,WR2,00-0039064,Zay Flowers,WR,BAL,6400,13.844695144979196,2.16,IND,44069954,9.3744,statline_mc+recal_10_4b,team:DET
3,WR3,00-0030279,Keenan Allen,WR,IND,4700,10.852536915612896,2.31,BAL,44069996,7.9033,statline_mc+recal_10_4b,team:DET
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.50579568592652,2.74,CAR,44070238,7.7259,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0039065,Sam LaPorta,TE,DET,4400,9.068659679500428,2.06,NO,44070246,6.6344,statline_mc+recal_10_4b,team:DET
