lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,6200,16.453437467427815,2.65,MIA,44173858,7.9554,statline_mc+recal_10_4b,team:SF
1,DST,DST_LAC,Chargers,DST,LAC,3200,8.800796974499999,2.75,LV,44174318,5.7463,dst_simulated_session_10_4+recal_10_4b,team:SF
1,RB1,00-0033280,Christian McCaffrey,RB,SF,8000,14.638776464223154,1.83,MIA,44173888,8.6343,statline_mc+recal_10_4b,team:SF
1,RB2,00-0036997,Javonte Williams,RB,DAL,6400,11.364893555431154,1.78,WAS,44173896,8.1199,statline_mc+recal_10_4b,team:SF
1,WR1,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:SF
1,WR2,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.188966788464892,1.55,MIA,44174030,7.5165,statline_mc+recal_10_4b,team:SF
1,WR3,00-0034272,Marquez Valdes-Scantling,WR,LAC,3000,1.6260316389665803,0.54,LV,44192224,4.6597,statline_mc+recal_10_4b,team:SF
1,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.070800280685393,1.44,DEN,44173900,7.4064,statline_mc+recal_10_4b,team:SF
2,QB,00-0033077,Dak Prescott,QB,DAL,6400,15.900009018900334,2.48,WAS,44173856,7.8938,statline_mc+recal_10_4b,team:DAL
2,DST,DST_LAC,Chargers,DST,LAC,3200,8.800796974499999,2.75,LV,44174318,5.7463,dst_simulated_session_10_4+recal_10_4b,team:DAL
2,RB1,00-0033280,Christian McCaffrey,RB,SF,8000,14.638776464223154,1.83,MIA,44173888,8.6343,statline_mc+recal_10_4b,team:DAL
2,RB2,00-0036997,Javonte Williams,RB,DAL,6400,11.364893555431154,1.78,WAS,44173896,8.1199,statline_mc+recal_10_4b,team:DAL
2,WR1,00-0036358,CeeDee Lamb,WR,DAL,7300,11.17698031260788,1.53,WAS,44174014,8.3171,statline_mc+recal_10_4b,team:DAL
2,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:DAL
2,WR3,00-0036261,Brandon Aiyuk,WR,SF,3000,1.661256346511997,0.55,MIA,44174096,4.8971,statline_mc+recal_10_4b,team:DAL
2,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:DAL
2,FLEX,00-0034272,Marquez Valdes-Scantling,WR,LAC,3000,1.6260316389665803,0.54,LV,44192224,4.6597,statline_mc+recal_10_4b,team:DAL
3,QB,00-0036355,Justin Herbert,QB,LAC,6000,13.204549688525097,2.2,LV,44173859,7.7843,statline_mc+recal_10_4b,team:LAC
3,DST,DST_DEN,Broncos,DST,DEN,2800,7.290412092,2.6,JAX,44174320,5.812,dst_simulated_session_10_4+recal_10_4b,team:LAC
3,RB1,00-0033280,Christian McCaffrey,RB,SF,8000,14.638776464223154,1.83,MIA,44173888,8.6343,statline_mc+recal_10_4b,team:LAC
3,RB2,00-0036997,Javonte Williams,RB,DAL,6400,11.364893555431154,1.78,WAS,44173896,8.1199,statline_mc+recal_10_4b,team:LAC
3,WR1,00-0039915,Ladd McConkey,WR,LAC,6200,8.69018625397786,1.4,LV,44174022,7.7232,statline_mc+recal_10_4b,team:LAC
3,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:LAC
3,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.188966788464892,1.55,MIA,44174030,7.5165,statline_mc+recal_10_4b,team:LAC
3,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:LAC
3,FLEX,00-0034272,Marquez Valdes-Scantling,WR,LAC,3000,1.6260316389665803,0.54,LV,44192224,4.6597,statline_mc+recal_10_4b,team:LAC
