team,opponent,commence_time,spread,over_under,implied_total
LAC,KC,2021-12-16,3.0,54.0,25.5
KC,LAC,2021-12-16,-3.0,54.0,28.5
IND,NE,2021-12-18,1.0,46.0,22.5
NE,IND,2021-12-18,-1.0,46.0,23.5
BUF,CAR,2021-12-19,-14.0,43.0,28.5
CAR,BUF,2021-12-19,14.0,43.0,14.5
DET,ARI,2021-12-19,13.0,48.0,17.5
ARI,DET,2021-12-19,-13.0,48.0,30.5
JAX,HOU,2021-12-19,-6.0,40.0,23.0
HOU,JAX,2021-12-19,6.0,40.0,17.0
MIA,NYJ,2021-12-19,-10.5,42.0,26.25
NYJ,MIA,2021-12-19,10.5,42.0,15.75
NYG,DAL,2021-12-19,11.5,43.0,15.75
DAL,NYG,2021-12-19,-11.5,43.0,27.25
PIT,TEN,2021-12-19,-1.0,44.0,22.5
TEN,PIT,2021-12-19,1.0,44.0,21.5
DEN,CIN,2021-12-19,-3.0,45.0,24.0
CIN,DEN,2021-12-19,3.0,45.0,21.0
SF,ATL,2021-12-19,-9.5,48.0,28.75
ATL,SF,2021-12-19,9.5,48.0,19.25
BAL,GB,2021-12-19,9.5,45.5,18.0
GB,BAL,2021-12-19,-9.5,45.5,27.5
TB,NO,2021-12-19,-11.5,45.5,28.5
NO,TB,2021-12-19,11.5,45.5,17.0
CLE,LV,2021-12-20,3.0,41.0,19.0
LV,CLE,2021-12-20,-3.0,41.0,22.0
CHI,MIN,2021-12-20,7.0,48.0,20.5
MIN,CHI,2021-12-20,-7.0,48.0,27.5
LA,SEA,2021-12-21,-7.5,47.0,27.25
SEA,LA,2021-12-21,7.5,47.0,19.75
PHI,WAS,2021-12-21,-10.0,39.5,24.75
WAS,PHI,2021-12-21,10.0,39.5,14.75
