team,opponent,commence_time,spread,over_under,implied_total
BUF,LAC,2026-09-27T17:00:00Z,-7.22,50.11,28.67
LAC,BUF,2026-09-27T17:00:00Z,7.22,50.11,21.44
CLE,CAR,2026-09-27T17:00:00Z,2.44,42.22,19.89
CAR,CLE,2026-09-27T17:00:00Z,-2.44,42.22,22.33
PIT,CIN,2026-09-27T17:00:00Z,3.5,42.5,19.5
CIN,PIT,2026-09-27T17:00:00Z,-3.5,42.5,23.0
DET,NYJ,2026-09-27T17:00:00Z,-6.56,48.11,27.33
NYJ,DET,2026-09-27T17:00:00Z,6.56,48.11,20.78
IND,HOU,2026-09-27T17:00:00Z,1.5,42.61,20.56
HOU,IND,2026-09-27T17:00:00Z,-1.5,42.61,22.06
JAX,NE,2026-09-27T17:00:00Z,-2.94,45.83,24.39
NE,JAX,2026-09-27T17:00:00Z,2.94,45.83,21.44
MIA,KC,2026-09-27T17:00:00Z,10.56,45.39,17.42
KC,MIA,2026-09-27T17:00:00Z,-10.56,45.39,27.97
NYG,TEN,2026-09-27T17:00:00Z,-2.44,38.22,20.33
TEN,NYG,2026-09-27T17:00:00Z,2.44,38.22,17.89
WAS,SEA,2026-09-27T17:00:00Z,7.56,40.17,16.31
SEA,WAS,2026-09-27T17:00:00Z,-7.56,40.17,23.86
SF,ARI,2026-09-27T20:05:00Z,-8.44,47.89,28.17
ARI,SF,2026-09-27T20:05:00Z,8.44,47.89,19.72
TB,MIN,2026-09-27T20:05:00Z,1.33,42.5,20.58
MIN,TB,2026-09-27T20:05:00Z,-1.33,42.5,21.92
DAL,BAL,2026-09-27T20:25:00Z,3.39,53.28,24.94
BAL,DAL,2026-09-27T20:25:00Z,-3.39,53.28,28.33
NO,LV,2026-09-27T20:25:00Z,-3.11,43.56,23.33
LV,NO,2026-09-27T20:25:00Z,3.11,43.56,20.22
DEN,LA,2026-09-28T00:20:00Z,2.22,43.89,20.83
LA,DEN,2026-09-28T00:20:00Z,-2.22,43.89,23.06
CHI,PHI,2026-09-29T00:15:00Z,4.78,41.28,18.25
PHI,CHI,2026-09-29T00:15:00Z,-4.78,41.28,23.03
CLE,PIT,2026-10-02T00:15:00Z,2.14,37.71,17.79
PIT,CLE,2026-10-02T00:15:00Z,-2.14,37.71,19.93
WAS,IND,2026-10-04T13:30:00Z,4.36,46.07,20.86
IND,WAS,2026-10-04T13:30:00Z,-4.36,46.07,25.21
NYG,ARI,2026-10-04T17:00:00Z,-2.3,43.6,22.95
ARI,NYG,2026-10-04T17:00:00Z,2.3,43.6,20.65
BAL,TEN,2026-10-04T17:00:00Z,-10.43,44.79,27.61
TEN,BAL,2026-10-04T17:00:00Z,10.43,44.79,17.18
BUF,NE,2026-10-04T17:00:00Z,-5.5,50.0,27.75
NE,BUF,2026-10-04T17:00:00Z,5.5,50.0,22.25
CHI,NYJ,2026-10-04T17:00:00Z,-3.14,43.29,23.21
NYJ,CHI,2026-10-04T17:00:00Z,3.14,43.29,20.07
CIN,JAX,2026-10-04T17:00:00Z,-2.64,50.14,26.39
JAX,CIN,2026-10-04T17:00:00Z,2.64,50.14,23.75
HOU,DAL,2026-10-04T17:00:00Z,-2.86,47.57,25.21
DAL,HOU,2026-10-04T17:00:00Z,2.86,47.57,22.36
PHI,LA,2026-10-04T17:00:00Z,2.57,46.07,21.75
LA,PHI,2026-10-04T17:00:00Z,-2.57,46.07,24.32
MIN,MIA,2026-10-04T20:05:00Z,-10.36,42.64,26.5
MIA,MIN,2026-10-04T20:05:00Z,10.36,42.64,16.14
SF,DEN,2026-10-04T20:25:00Z,-3.0,46.0,24.5
DEN,SF,2026-10-04T20:25:00Z,3.0,46.0,21.5
LV,KC,2026-10-04T20:25:00Z,5.57,45.57,20.0
KC,LV,2026-10-04T20:25:00Z,-5.57,45.57,25.57
SEA,LAC,2026-10-04T20:25:00Z,-6.64,43.21,24.93
LAC,SEA,2026-10-04T20:25:00Z,6.64,43.21,18.29
CAR,DET,2026-10-05T00:20:00Z,2.69,49.5,23.41
DET,CAR,2026-10-05T00:20:00Z,-2.69,49.5,26.09
