team,opponent,commence_time,spread,over_under,implied_total
KC,DEN,2026-09-15T00:15:00Z,-2.0,43.39,22.69
DEN,KC,2026-09-15T00:15:00Z,2.0,43.39,20.69
BUF,DET,2026-09-18T00:15:00Z,-4.28,53.44,28.86
DET,BUF,2026-09-18T00:15:00Z,4.28,53.44,24.58
ATL,CAR,2026-09-20T17:00:00Z,1.06,44.0,21.47
CAR,ATL,2026-09-20T17:00:00Z,-1.06,44.0,22.53
BAL,NO,2026-09-20T17:00:00Z,-8.61,47.17,27.89
NO,BAL,2026-09-20T17:00:00Z,8.61,47.17,19.28
CHI,MIN,2026-09-20T17:00:00Z,-5.56,49.44,27.5
MIN,CHI,2026-09-20T17:00:00Z,5.56,49.44,21.94
HOU,CIN,2026-09-20T17:00:00Z,-3.0,46.56,24.78
CIN,HOU,2026-09-20T17:00:00Z,3.0,46.56,21.78
TB,CLE,2026-09-20T17:00:00Z,-8.39,40.94,24.67
CLE,TB,2026-09-20T17:00:00Z,8.39,40.94,16.28
NYJ,GB,2026-09-20T17:00:00Z,3.86,44.61,20.38
GB,NYJ,2026-09-20T17:00:00Z,-3.86,44.61,24.23
NE,PIT,2026-09-20T17:00:00Z,-5.19,41.78,23.48
PIT,NE,2026-09-20T17:00:00Z,5.19,41.78,18.3
TEN,PHI,2026-09-20T17:00:00Z,7.0,39.44,16.22
PHI,TEN,2026-09-20T17:00:00Z,-7.0,39.44,23.22
DEN,JAX,2026-09-20T20:05:00Z,-2.75,44.5,23.62
JAX,DEN,2026-09-20T20:05:00Z,2.75,44.5,20.88
LAC,LV,2026-09-20T20:05:00Z,-7.0,43.5,25.25
LV,LAC,2026-09-20T20:05:00Z,7.0,43.5,18.25
ARI,SEA,2026-09-20T20:25:00Z,4.28,41.12,18.42
SEA,ARI,2026-09-20T20:25:00Z,-4.28,41.12,22.7
DAL,WAS,2026-09-20T20:25:00Z,-3.5,50.44,26.97
WAS,DAL,2026-09-20T20:25:00Z,3.5,50.44,23.47
SF,MIA,2026-09-20T20:25:00Z,-13.33,45.5,29.42
MIA,SF,2026-09-20T20:25:00Z,13.33,45.5,16.08
KC,IND,2026-09-21T00:20:00Z,-6.5,47.71,27.11
IND,KC,2026-09-21T00:20:00Z,6.5,47.71,20.61
LA,NYG,2026-09-22T00:15:00Z,-7.06,48.62,27.84
NYG,LA,2026-09-22T00:15:00Z,7.06,48.62,20.78
