team,opponent,commence_time,spread,over_under,implied_total
BUF,DET,2026-09-18T00:15:00Z,-5.17,54.78,29.97
DET,BUF,2026-09-18T00:15:00Z,5.17,54.78,24.81
ATL,CAR,2026-09-20T17:00:00Z,2.44,43.83,20.69
CAR,ATL,2026-09-20T17:00:00Z,-2.44,43.83,23.14
BAL,NO,2026-09-20T17:00:00Z,-8.56,46.67,27.61
NO,BAL,2026-09-20T17:00:00Z,8.56,46.67,19.06
CHI,MIN,2026-09-20T17:00:00Z,-4.5,48.17,26.33
MIN,CHI,2026-09-20T17:00:00Z,4.5,48.17,21.83
HOU,CIN,2026-09-20T17:00:00Z,-2.5,46.06,24.28
CIN,HOU,2026-09-20T17:00:00Z,2.5,46.06,21.78
TB,CLE,2026-09-20T17:00:00Z,-8.56,41.44,25.0
CLE,TB,2026-09-20T17:00:00Z,8.56,41.44,16.44
NYJ,GB,2026-09-20T17:00:00Z,3.39,44.56,20.58
GB,NYJ,2026-09-20T17:00:00Z,-3.39,44.56,23.97
NE,PIT,2026-09-20T17:00:00Z,-5.0,41.5,23.25
PIT,NE,2026-09-20T17:00:00Z,5.0,41.5,18.25
TEN,PHI,2026-09-20T17:00:00Z,7.0,39.56,16.28
PHI,TEN,2026-09-20T17:00:00Z,-7.0,39.56,23.28
DEN,JAX,2026-09-20T20:05:00Z,-2.56,45.39,23.97
JAX,DEN,2026-09-20T20:05:00Z,2.56,45.39,21.42
LAC,LV,2026-09-20T20:05:00Z,-6.56,43.5,25.03
LV,LAC,2026-09-20T20:05:00Z,6.56,43.5,18.47
ARI,SEA,2026-09-20T20:25:00Z,3.94,41.0,18.53
SEA,ARI,2026-09-20T20:25:00Z,-3.94,41.0,22.47
DAL,WAS,2026-09-20T20:25:00Z,-4.0,50.5,27.25
WAS,DAL,2026-09-20T20:25:00Z,4.0,50.5,23.25
SF,MIA,2026-09-20T20:25:00Z,-13.17,45.06,29.11
MIA,SF,2026-09-20T20:25:00Z,13.17,45.06,15.94
KC,IND,2026-09-21T00:20:00Z,-6.56,46.56,26.56
IND,KC,2026-09-21T00:20:00Z,6.56,46.56,20.0
LA,NYG,2026-09-22T00:15:00Z,-7.06,48.0,27.53
NYG,LA,2026-09-22T00:15:00Z,7.06,48.0,20.47
GB,ATL,2026-09-25T00:15:00Z,-6.36,46.21,26.29
ATL,GB,2026-09-25T00:15:00Z,6.36,46.21,19.93
BUF,LAC,2026-09-27T17:00:00Z,-4.25,49.67,26.96
LAC,BUF,2026-09-27T17:00:00Z,4.25,49.67,22.71
CLE,CAR,2026-09-27T17:00:00Z,2.92,39.92,18.5
CAR,CLE,2026-09-27T17:00:00Z,-2.92,39.92,21.42
PIT,CIN,2026-09-27T17:00:00Z,2.5,46.08,21.79
CIN,PIT,2026-09-27T17:00:00Z,-2.5,46.08,24.29
DET,NYJ,2026-09-27T17:00:00Z,-7.17,47.92,27.54
NYJ,DET,2026-09-27T17:00:00Z,7.17,47.92,20.38
IND,HOU,2026-09-27T17:00:00Z,2.5,44.67,21.08
HOU,IND,2026-09-27T17:00:00Z,-2.5,44.67,23.58
JAX,NE,2026-09-27T17:00:00Z,-2.42,45.75,24.08
NE,JAX,2026-09-27T17:00:00Z,2.42,45.75,21.67
MIA,KC,2026-09-27T17:00:00Z,8.75,44.5,17.88
KC,MIA,2026-09-27T17:00:00Z,-8.75,44.5,26.62
NYG,TEN,2026-09-27T17:00:00Z,-5.58,43.0,24.29
TEN,NYG,2026-09-27T17:00:00Z,5.58,43.0,18.71
WAS,SEA,2026-09-27T17:00:00Z,2.08,41.83,19.88
SEA,WAS,2026-09-27T17:00:00Z,-2.08,41.83,21.96
SF,ARI,2026-09-27T20:05:00Z,-8.33,48.17,28.25
ARI,SF,2026-09-27T20:05:00Z,8.33,48.17,19.92
TB,MIN,2026-09-27T20:05:00Z,-1.33,46.17,23.75
MIN,TB,2026-09-27T20:05:00Z,1.33,46.17,22.42
DAL,BAL,2026-09-27T20:25:00Z,3.08,52.42,24.67
BAL,DAL,2026-09-27T20:25:00Z,-3.08,52.42,27.75
NO,LV,2026-09-27T20:25:00Z,-3.0,44.83,23.92
LV,NO,2026-09-27T20:25:00Z,3.0,44.83,20.92
DEN,LA,2026-09-28T00:20:00Z,2.5,46.0,21.75
LA,DEN,2026-09-28T00:20:00Z,-2.5,46.0,24.25
CHI,PHI,2026-09-29T00:15:00Z,-1.5,47.75,24.62
PHI,CHI,2026-09-29T00:15:00Z,1.5,47.75,23.12
