team,opponent,commence_time,spread,over_under,implied_total
TB,CLE,2026-09-20T17:02:40Z,-1.5,48.5,25.0
CLE,TB,2026-09-20T17:02:40Z,1.5,48.5,23.5
LAC,LV,2026-09-20T20:05:18Z,-3.2,39.5,21.35
LV,LAC,2026-09-20T20:05:18Z,3.2,39.5,18.15
DEN,JAX,2026-09-20T20:05:33Z,2.58,38.08,17.75
JAX,DEN,2026-09-20T20:05:33Z,-2.58,38.08,20.33
DAL,WAS,2026-09-20T20:25:36Z,-9.08,52.0,30.54
WAS,DAL,2026-09-20T20:25:36Z,9.08,52.0,21.46
ARI,SEA,2026-09-20T20:25:38Z,2.4,44.8,21.2
SEA,ARI,2026-09-20T20:25:38Z,-2.4,44.8,23.6
SF,MIA,2026-09-20T20:26:23Z,-14.08,40.08,27.08
MIA,SF,2026-09-20T20:26:23Z,14.08,40.08,13.0
KC,IND,2026-09-21T00:20:00Z,-6.0,46.0,26.0
IND,KC,2026-09-21T00:20:00Z,6.0,46.0,20.0
LA,NYG,2026-09-22T00:15:00Z,-6.78,47.56,27.17
NYG,LA,2026-09-22T00:15:00Z,6.78,47.56,20.39
