team,opponent,commence_time,spread,over_under,implied_total
LA,NYG,2026-09-22T00:15:00Z,-6.78,47.44,27.11
NYG,LA,2026-09-22T00:15:00Z,6.78,47.44,20.33
GB,ATL,2026-09-25T00:15:00Z,-6.94,44.0,25.47
ATL,GB,2026-09-25T00:15:00Z,6.94,44.0,18.53
BUF,LAC,2026-09-27T17:00:00Z,-7.0,50.33,28.67
LAC,BUF,2026-09-27T17:00:00Z,7.0,50.33,21.67
CLE,CAR,2026-09-27T17:00:00Z,2.94,41.94,19.5
CAR,CLE,2026-09-27T17:00:00Z,-2.94,41.94,22.44
PIT,CIN,2026-09-27T17:00:00Z,3.5,42.33,19.42
CIN,PIT,2026-09-27T17:00:00Z,-3.5,42.33,22.92
DET,NYJ,2026-09-27T17:00:00Z,-6.5,47.89,27.19
NYJ,DET,2026-09-27T17:00:00Z,6.5,47.89,20.69
IND,HOU,2026-09-27T17:00:00Z,2.89,43.72,20.42
HOU,IND,2026-09-27T17:00:00Z,-2.89,43.72,23.31
JAX,NE,2026-09-27T17:00:00Z,-2.89,44.94,23.92
NE,JAX,2026-09-27T17:00:00Z,2.89,44.94,21.03
MIA,KC,2026-09-27T17:00:00Z,11.11,45.78,17.33
KC,MIA,2026-09-27T17:00:00Z,-11.11,45.78,28.44
NYG,TEN,2026-09-27T17:00:00Z,-6.06,43.0,24.53
TEN,NYG,2026-09-27T17:00:00Z,6.06,43.0,18.47
WAS,SEA,2026-09-27T17:00:00Z,6.5,39.94,16.72
SEA,WAS,2026-09-27T17:00:00Z,-6.5,39.94,23.22
SF,ARI,2026-09-27T20:05:00Z,-8.61,47.78,28.19
ARI,SF,2026-09-27T20:05:00Z,8.61,47.78,19.58
TB,MIN,2026-09-27T20:05:00Z,1.56,42.83,20.64
MIN,TB,2026-09-27T20:05:00Z,-1.56,42.83,22.2
DAL,BAL,2026-09-27T20:25:00Z,3.0,52.5,24.75
BAL,DAL,2026-09-27T20:25:00Z,-3.0,52.5,27.75
NO,LV,2026-09-27T20:25:00Z,-3.0,43.5,23.25
LV,NO,2026-09-27T20:25:00Z,3.0,43.5,20.25
DEN,LA,2026-09-28T00:20:00Z,2.44,45.38,21.47
LA,DEN,2026-09-28T00:20:00Z,-2.44,45.38,23.91
CHI,PHI,2026-09-29T00:15:00Z,3.5,44.06,20.28
PHI,CHI,2026-09-29T00:15:00Z,-3.5,44.06,23.78
