Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
QB,Jayden Daniels (43621700),Jayden Daniels,43621700,QB,8300,MIA@WAS 07/21/2026 10:00PM ET,WAS,28.21,Jayden Daniels,dk,8300,jayden daniels,WAS,QB,00-0039910,auto_exact,high
RB,Jerome Ford (43621712),Jerome Ford,43621712,RB/FLEX,8000,CLE@HOU 07/21/2026 08:00PM ET,CLE,17.94,Jerome Ford,dk,8000,jerome ford,CLE,RB,00-0037267,auto_exact,high
WR,Nico Collins (43621758),Nico Collins,43621758,WR/FLEX,8000,CLE@HOU 07/21/2026 08:00PM ET,HOU,16.9,Nico Collins,dk,8000,nico collins,HOU,WR,00-0036554,auto_exact,high
RB,Jonathan Taylor (43621714),Jonathan Taylor,43621714,RB/FLEX,7700,IND@DAL 07/21/2026 06:00PM ET,IND,16.65,Jonathan Taylor,dk,7700,jonathan taylor,IND,RB,00-0036223,auto_exact,high
QB,Dak Prescott (43621701),Dak Prescott,43621701,QB,6700,IND@DAL 07/21/2026 06:00PM ET,DAL,22.19,Dak Prescott,dk,6700,dak prescott,DAL,QB,00-0033077,auto_exact,high
WR,Tyreek Hill (43621760),Tyreek Hill,43621760,WR/FLEX,6600,MIA@WAS 07/21/2026 10:00PM ET,MIA,15.17,Tyreek Hill,dk,6600,tyreek hill,MIA,WR,00-0033040,auto_exact,high
QB,Tua Tagovailoa (43621702),Tua Tagovailoa,43621702,QB,6500,MIA@WAS 07/21/2026 10:00PM ET,MIA,20.30,Tua Tagovailoa,dk,6500,tua tagovailoa,MIA,QB,00-0036212,auto_exact,high
WR,Terry McLaurin (43621762),Terry McLaurin,43621762,WR/FLEX,6500,MIA@WAS 07/21/2026 10:00PM ET,WAS,15.19,Terry McLaurin,dk,6500,terry mclaurin,WAS,WR,00-0035659,auto_exact,high
RB,Joe Mixon (43621716),Joe Mixon,43621716,RB/FLEX,6500,CLE@HOU 07/21/2026 08:00PM ET,HOU,15.43,Joe Mixon,dk,6500,joe mixon,HOU,RB,,,
WR,CeeDee Lamb (43621764),CeeDee Lamb,43621764,WR/FLEX,6400,IND@DAL 07/21/2026 06:00PM ET,DAL,12.65,CeeDee Lamb,dk,6400,ceedee lamb,DAL,WR,00-0036358,auto_exact,high
RB,De'Von Achane (43621718),De'Von Achane,43621718,RB/FLEX,6200,MIA@WAS 07/21/2026 10:00PM ET,MIA,15.30,De'Von Achane,dk,6200,devon achane,MIA,RB,00-0039040,auto_exact,high
RB,Javonte Williams (43621720),Javonte Williams,43621720,RB/FLEX,6100,IND@DAL 07/21/2026 06:00PM ET,DAL,12.99,Javonte Williams,dk,6100,javonte williams,DAL,RB,00-0036997,auto_exact,high
WR,Jaylen Waddle (43621766),Jaylen Waddle,43621766,WR/FLEX,6000,MIA@WAS 07/21/2026 10:00PM ET,MIA,14.14,Jaylen Waddle,dk,6000,jaylen waddle,MIA,WR,00-0036613,auto_exact,high
QB,Daniel Jones (43621703),Daniel Jones,43621703,QB,6000,IND@DAL 07/21/2026 06:00PM ET,IND,22.54,Daniel Jones,dk,6000,daniel jones,IND,QB,00-0035710,auto_exact,high
WR,Jerry Jeudy (43621768),Jerry Jeudy,43621768,WR/FLEX,5800,CLE@HOU 07/21/2026 08:00PM ET,CLE,13.5,Jerry Jeudy,dk,5800,jerry jeudy,CLE,WR,00-0036407,auto_exact,high
RB,Austin Ekeler (43621722),Austin Ekeler,43621722,RB/FLEX,5600,MIA@WAS 07/21/2026 10:00PM ET,WAS,13.77,Austin Ekeler,dk,5600,austin ekeler,WAS,RB,00-0033699,auto_exact,high
QB,C.J. Stroud (43621704),C.J. Stroud,43621704,QB,5300,CLE@HOU 07/21/2026 08:00PM ET,HOU,20.73,C.J. Stroud,dk,5300,cj stroud,HOU,QB,00-0039163,auto_exact,high
WR,Deebo Samuel Sr. (43621770),Deebo Samuel Sr.,43621770,WR/FLEX,5200,MIA@WAS 07/21/2026 10:00PM ET,WAS,13.11,Deebo Samuel Sr.,dk,5200,deebo samuel,WAS,WR,00-0035719,auto_exact,high
TE,Jake Ferguson (43621826),Jake Ferguson,43621826,TE/FLEX,5200,IND@DAL 07/21/2026 06:00PM ET,DAL,12.42,Jake Ferguson,dk,5200,jake ferguson,DAL,TE,00-0038041,auto_exact,high
QB,Joe Flacco (43621705),Joe Flacco,43621705,QB,5100,CLE@HOU 07/21/2026 08:00PM ET,CLE,17.79,Joe Flacco,dk,5100,joe flacco,CLE,QB,00-0026158,auto_fallback_team_mismatch,medium
WR,Tank Dell (43621772),Tank Dell,43621772,WR/FLEX,5100,CLE@HOU 07/21/2026 08:00PM ET,HOU,11.65,Tank Dell,dk,5100,tank dell,HOU,WR,,,
QB,Marcus Mariota (43621707),Marcus Mariota,43621707,QB,5000,MIA@WAS 07/21/2026 10:00PM ET,WAS,0,Marcus Mariota,dk,5000,marcus mariota,WAS,QB,00-0032268,auto_exact,high
QB,Zach Wilson (43621710),Zach Wilson,43621710,QB,5000,MIA@WAS 07/21/2026 10:00PM ET,MIA,0,Zach Wilson,dk,5000,zach wilson,MIA,QB,00-0037013,auto_exact,high
